wkt,description
"LINESTRING (6 13,6.0 12.0,6 11,6 10,6 9,6 8)",Wales - England
"LINESTRING (7.0 24.0,8.0 24.0,9.0 24.0,10.0 24.0,10 25,10 26,11 26)",Scotland - England
